  R0   T0   rho0
1.033 1.100 284.474
1.033 1.100 300.000
1.100 1.100 51.579
1.100 1.100 67.105
1.100 1.100 82.632
1.100 1.100 98.158
1.100 1.100 113.684
1.100 1.100 129.211
1.100 1.100 144.737
1.100 1.100 160.263
1.100 1.100 175.789
1.100 1.100 191.316
1.100 1.100 206.842
1.100 1.100 222.368
1.100 1.100 237.895
1.100 1.100 253.421
1.100 1.100 268.947
1.100 1.100 284.474
1.100 1.100 300.000
1.167 1.100 51.579
1.167 1.100 67.105
1.167 1.100 82.632
1.167 1.100 98.158
1.167 1.100 113.684
1.167 1.100 129.211
1.167 1.100 144.737
1.167 1.100 160.263
1.167 1.100 175.789
1.167 1.100 191.316
1.167 1.100 206.842
1.167 1.100 222.368
1.167 1.100 237.895
1.167 1.100 253.421
1.167 1.100 268.947
1.167 1.100 284.474
1.167 1.100 300.000
1.233 1.100 36.053
1.233 1.100 51.579
1.233 1.100 67.105
1.233 1.100 82.632
1.233 1.100 98.158
1.233 1.100 113.684
1.233 1.100 129.211
1.233 1.100 144.737
1.233 1.100 160.263
1.233 1.100 175.789
1.233 1.100 191.316
1.233 1.100 206.842
1.233 1.100 222.368
1.233 1.100 237.895
1.300 1.100 36.053
1.300 1.100 51.579
1.300 1.100 67.105
1.300 1.100 82.632
1.300 1.100 98.158
1.300 1.100 113.684
1.300 1.100 129.211
1.300 1.100 144.737
1.300 1.100 160.263
1.300 1.100 175.789
1.367 1.100 36.053
1.367 1.100 51.579
1.367 1.100 67.105
1.367 1.100 82.632
1.367 1.100 98.158
1.367 1.100 113.684
1.367 1.100 129.211
1.433 1.100 36.053
1.433 1.100 51.579
1.433 1.100 67.105
1.433 1.100 82.632
1.433 1.100 98.158
1.500 1.100 36.053
1.500 1.100 51.579
1.500 1.100 67.105
0.900 1.150 160.263
0.900 1.150 175.789
0.900 1.150 191.316
0.900 1.150 206.842
0.900 1.150 222.368
0.900 1.150 237.895
0.900 1.150 253.421
0.900 1.150 268.947
0.900 1.150 284.474
0.900 1.150 300.000
0.967 1.150 98.158
0.967 1.150 113.684
0.967 1.150 129.211
0.967 1.150 144.737
0.967 1.150 160.263
0.967 1.150 175.789
0.967 1.150 191.316
0.967 1.150 206.842
0.967 1.150 222.368
0.967 1.150 237.895
0.967 1.150 253.421
0.967 1.150 268.947
0.967 1.150 284.474
0.967 1.150 300.000
1.033 1.150 51.579
1.033 1.150 67.105
1.033 1.150 82.632
1.033 1.150 98.158
1.033 1.150 113.684
1.033 1.150 129.211
1.033 1.150 144.737
1.033 1.150 160.263
1.033 1.150 175.789
1.033 1.150 191.316
1.033 1.150 206.842
1.033 1.150 222.368
1.033 1.150 237.895
1.033 1.150 253.421
1.033 1.150 268.947
1.033 1.150 284.474
1.033 1.150 300.000
1.100 1.150 51.579
1.100 1.150 67.105
1.100 1.150 82.632
1.100 1.150 98.158
1.100 1.150 113.684
1.100 1.150 129.211
1.100 1.150 144.737
1.100 1.150 160.263
1.100 1.150 175.789
1.100 1.150 191.316
1.100 1.150 206.842
1.100 1.150 222.368
1.100 1.150 237.895
1.100 1.150 253.421
1.100 1.150 268.947
1.100 1.150 284.474
1.100 1.150 300.000
1.167 1.150 51.579
1.167 1.150 67.105
1.167 1.150 82.632
1.167 1.150 98.158
1.167 1.150 113.684
1.167 1.150 129.211
1.167 1.150 144.737
1.167 1.150 160.263
1.167 1.150 175.789
1.167 1.150 191.316
1.167 1.150 206.842
1.167 1.150 222.368
1.167 1.150 237.895
1.167 1.150 253.421
1.167 1.150 268.947
1.167 1.150 284.474
1.167 1.150 300.000
1.233 1.150 36.053
1.233 1.150 51.579
1.233 1.150 67.105
1.233 1.150 82.632
1.233 1.150 98.158
1.233 1.150 113.684
1.233 1.150 129.211
1.233 1.150 144.737
1.233 1.150 160.263
1.233 1.150 175.789
1.233 1.150 191.316
1.233 1.150 206.842
1.233 1.150 222.368
1.233 1.150 237.895
1.233 1.150 253.421
1.300 1.150 36.053
1.300 1.150 51.579
1.300 1.150 67.105
1.300 1.150 82.632
1.300 1.150 98.158
1.300 1.150 113.684
1.300 1.150 129.211
1.300 1.150 144.737
1.300 1.150 160.263
1.300 1.150 175.789
1.300 1.150 191.316
1.367 1.150 36.053
1.367 1.150 51.579
1.367 1.150 67.105
1.367 1.150 82.632
1.367 1.150 98.158
1.367 1.150 113.684
1.367 1.150 129.211
1.367 1.150 144.737
1.433 1.150 36.053
1.433 1.150 51.579
1.433 1.150 67.105
1.433 1.150 82.632
1.433 1.150 98.158
1.500 1.150 36.053
1.500 1.150 51.579
1.500 1.150 67.105
1.500 1.150 82.632
0.900 1.200 175.789
0.900 1.200 191.316
0.900 1.200 206.842
0.900 1.200 222.368
0.900 1.200 237.895
0.900 1.200 253.421
0.900 1.200 268.947
0.900 1.200 284.474
0.900 1.200 300.000
0.967 1.200 98.158
0.967 1.200 113.684
0.967 1.200 129.211
0.967 1.200 144.737
0.967 1.200 160.263
0.967 1.200 175.789
0.967 1.200 191.316
0.967 1.200 206.842
0.967 1.200 222.368
0.967 1.200 237.895
0.967 1.200 253.421
0.967 1.200 268.947
0.967 1.200 284.474
